Alim. Car. NITENS 1;Alim. Cam. NITENS 1;Pic. Car. NITENS 1;Pic. Cam. NITENS 1;Total Alim. NITENS 1;Tiempo muerto L. corta 1;Tiempo efectivo L. corta 1;Tiempo muerto L. larga 1;Tiempo efectivo L. larga 1;Disp. L. corta 1;Disp. L. larga 1;Velocidad 1 ;Velocidad Real 1 ;PM NITENS 1;Consumo Diges. PT 1;Inv. Asti. NITENS 1;Inv. Asti. GLOBULUS 1;PM Galpon 194-1;PM Caldera 198-1;PM Secador 1;Inv. Corteza 1;Alim. Car. NITENS 2;Alim. Cam. NITENS 2;Pic. Car. NITENS 2;Pic. Cam. NITENS 2;Total Alim. NITENS 2;Tiempo muerto L. corta 2;Tiempo efectivo L. corta 2;Tiempo muerto L. larga 2;Tiempo efectivo L. larga 2;Disp. L. corta 2;Disp. L. larga 2;Velocidad 2;Velocidad Real 2;PM NITENS 2;Consumo Diges. PT 2;Inv. Asti. NITENS 2;Inv. Asti. GLOBULUS 2;PM Galpon 194-2;PM Caldera 198-2;PM Secador 2;Inv. Corteza 2;Total Astillado;Prod. Total
91;0;3144;0;3144;340;1100;1440;0;0,7639;0;131;167;5160;5407;11186;11268;843;1196;797;754;45;0;1555;0;1555;535;905;535;905;0,6285;0,6285;65;104;5160;5407;11265;11268;843;1196;797;-746;4698;5160
34;0;1175;0;1175;120;1320;480;960;0,9167;0,6667;49;65;1790;1609;12965;12877;310;386;0;678;34;0;1175;0;1175;180;1260;180;1260;0,875;0,875;49;78;1790;1609;13055;12877;310;386;0;-822;2349;1790
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;12965;12877;0;0;0;678;0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;13055;12877;0;0;0;-822;0;154
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;12965;12877;0;0;0;678;0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;13055;12877;0;0;0;-822;0;2940
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;12965;12877;0;0;0;678;0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;13055;12877;0;0;0;-822;0;1640
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;12965;12877;0;0;0;678;0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;13055;12877;0;0;0;-822;0;2358
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;12965;12877;0;0;0;678;0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;13055;12877;0;0;0;-822;0;2052
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;12965;12877;0;0;0;678;0;0;0;0;0;135;1305;0;1440;0,9063;1;0;0;0;0;13055;12877;0;0;0;-822;0;5230
0;0;0;0;0;1440;0;1440;0;0;0;0;0;0;0;0;0;427;1010;0;2440;0;0;0;0;0;1440;0;1440;0;0;0;0;0;0;0;0;0;427;1010;0;592;0;154
0;0;0;0;0;480;960;1440;0;0,6667;0;0;0;0;0;0;0;349;337;0;2452;0;0;0;0;0;1440;0;1440;0;0;0;0;0;0;0;0;0;349;337;0;604;0;2940
27;0;933;0;933;625;815;625;815;0,566;0,566;39;84;640;0;640;0;416;831;0;2037;0;0;0;0;0;1440;0;1440;0;0;0;0;0;640;0;640;0;416;831;0;189;933;2280
106;0;3662;0;3662;345;1095;345;1095;0,7604;0,7604;153;201;3316;0;3956;0;1103;1322;0;1818;0;0;0;0;0;1440;0;1440;0;0;0;0;0;3316;0;3956;0;1103;1322;0;-30;3662;3316
73;0;2522;0;2522;395;1045;445;995;0,7257;0,691;105;148;2142;0;6098;0;1291;1395;0;1714;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2142;0;6098;0;1291;1395;0;-134;2522;2142
71;0;2453;0;2453;285;1155;610;830;0,8021;0,5764;102;128;2181;0;8279;0;1367;1259;0;1822;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2181;0;8279;0;1367;1259;0;-26;2453;3939
50;0;1727;0;1727;630;810;690;750;0,5625;0,5208;72;129;1439;0;9718;0;1123;1111;0;1834;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1439;0;9718;0;1123;1111;0;-14;1727;2951
51;0;1762;0;1762;520;920;520;920;0,6389;0,6389;73;117;1642;0;11360;0;986;1213;0;1607;0;0;0;0;0;1095;345;1440;0;0,2396;0;0;0;1642;0;11360;0;986;1213;0;-241;1762;5472
63;0;2176;0;2176;240;1200;370;1070;0,8333;0,7431;91;108;1945;0;13305;0;1277;1366;0;1518;0;0;0;0;0;960;480;1440;0;0,3333;0;0;0;1945;0;13305;0;1277;1366;0;-330;2176;1945
56;0;1935;0;1935;375;1065;640;800;0,7396;0,5556;81;109;1518;0;14823;0;1015;1276;0;1257;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1518;0;14823;0;1015;1276;0;-591;1935;1518
44;0;1520;0;1520;615;825;620;820;0,5729;0,5694;63;112;1263;0;16086;0;1111;1347;0;1021;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1263;0;16086;0;1111;1347;0;-827;1520;1263
58;0;2004;0;2004;230;1210;230;1210;0,8403;0,8403;83;99;2093;0;18179;0;1073;1435;0;659;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2093;0;18179;0;1073;1435;0;-1189;2004;2093
54;0;1865;0;1865;295;1145;295;1145;0,7951;0,7951;78;98;1925;0;20104;0;1015;1369;0;305;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1925;0;20104;0;1015;1369;0;-1543;1865;1120
45;0;1555;0;1555;540;900;540;900;0,625;0,625;65;100;1359;0;21463;0;1261;1332;0;234;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1359;0;21463;0;1261;1332;0;-1614;1555;1359
66;0;2280;0;2280;252;1188;252;1188;0,825;0,825;95;115;2724;0;24187;0;1536;1298;0;472;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2724;0;24187;0;1536;1298;0;-1376;2280;2724
59;0;2038;0;2038;460;980;460;980;0,6806;0,6806;85;122;2126;0;26313;0;1250;1370;0;352;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2126;0;26313;0;1250;1370;0;-1496;2038;2126
48;0;1658;0;1658;560;880;560;880;0,6111;0,6111;69;106;2060;0;28373;0;968;1092;0;228;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2060;0;28373;0;968;1092;0;-1620;1658;2060
50;0;1727;0;1727;780;660;1080;360;0,4583;0,25;72;159;2065;0;2065;0;795;823;0;1472;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2065;0;2065;0;795;823;0;-28;1727;2065
78;0;2695;0;2695;295;1145;915;525;0,7951;0,3646;112;139;2645;0;4710;0;985;1245;0;1212;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2645;0;4710;0;985;1245;0;-288;2695;2645
62;0;2142;0;2142;395;1045;475;965;0,7257;0,6701;89;122;2674;0;7384;0;1108;1346;0;974;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2674;0;7384;0;1108;1346;0;-526;2142;2674
72;0;2487;0;2487;425;1015;1255;185;0,7049;0,1285;104;152;3515;0;10899;0;868;1407;0;435;0;0;0;0;0;1440;0;1440;0;0;0;0;0;3515;0;10899;0;868;1407;0;-1065;2487;3515
48;0;1658;0;1658;660;780;660;780;0,5417;0,5417;69;136;1767;0;12666;0;802;1418;0;-181;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1767;0;12666;0;802;1418;0;-1681;1658;1767
22;0;760;0;760;150;1290;1110;330;0,8958;0,2292;32;44;1001;0;13667;0;1014;1376;0;-543;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1001;0;13667;0;1014;1376;0;-2043;760;1001
87;0;3005;0;3005;310;1130;350;1090;0,7847;0,7569;125;160;3440;0;18194;0;1655;1411;0;-722;0;0;0;0;0;1440;0;1440;0;0;0;0;0;3440;0;18194;0;1655;1411;0;-1954;3005;3440
77;0;2660;0;2660;435;1005;435;1005;0,6979;0,6979;111;157;2775;0;20969;0;1505;1395;0;-612;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2775;0;20969;0;1505;1395;0;-1844;2660;2775
50;0;1727;0;1727;530;910;955;485;0,6319;0,3368;72;108;2661;0;23630;0;1123;1421;0;-910;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2661;0;23630;0;1123;1421;0;-2142;1727;2661
30;0;1036;0;1036;465;975;1440;0;0,6771;0;43;70;1489;0;25119;0;914;1442;0;-1438;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1489;0;25119;0;914;1442;0;-2670;1036;1489
56;0;1935;0;1935;535;905;1440;0;0,6285;0;81;120;2101;0;27220;0;1105;1406;0;-1739;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2101;0;27220;0;1105;1406;0;-2971;1935;2255
40;0;1382;0;1382;675;765;1015;425;0,5313;0,2951;58;107;1299;0;28519;0;767;1415;0;-2387;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1299;0;28519;0;767;1415;0;-3619;1382;3639
45;0;1555;0;1555;660;780;660;780;0,5417;0,5417;65;105;1422;0;29941;0;801;1435;0;-3021;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1422;0;29941;0;801;1435;0;-4253;1555;2160
58;0;2004;0;2004;375;1065;625;815;0,7396;0,566;83;110;1976;0;31917;0;1055;1247;0;-3213;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1976;0;31917;0;1055;1247;0;-4445;2004;1976
63;0;2176;0;2176;100;1340;1440;0;0,9306;0;91;97;2163;0;34080;0;1503;1406;0;-3116;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2163;0;34080;0;1503;1406;0;-4348;2176;2163
37;0;1278;0;1278;515;925;1440;0;0,6424;0;53;83;1317;0;35397;0;1233;1491;0;-3374;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1317;0;35397;0;1233;1491;0;-4606;1278;3425
59;0;2038;0;2038;185;1255;1440;0;0,8715;0;85;98;1915;0;37312;0;1404;1463;0;-3433;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1915;0;37312;0;1404;1463;0;-4665;2038;3267
40;0;1382;0;1382;215;1225;1010;430;0,8507;0,2986;58;68;1417;0;38729;0;1287;1164;0;-3310;0;0;0;0;0;1095;345;1440;0;0,2396;0;0;0;1417;0;38729;0;1287;1164;0;-4542;1382;5775
53;0;1831;0;1831;260;1180;260;1180;0,8194;0,8194;76;94;1894;0;40623;0;1009;1207;0;-3508;0;0;0;0;0;960;480;1440;0;0,3333;0;0;0;1894;0;40623;0;1009;1207;0;-4740;1831;1894
43;0;1485;0;1485;565;875;860;580;0,6076;0,4028;62;112;1532;0;42155;0;781;1186;0;-3913;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1532;0;42155;0;781;1186;0;-5145;1485;1532
63;0;2176;0;2176;160;1280;160;1280;0,8889;0,8889;91;102;2393;0;44548;0;772;1295;137;-4436;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2393;0;44548;0;772;1295;137;-5668;2176;2393
30;0;1036;0;1036;740;700;740;700;0,4861;0,4861;43;89;1177;0;45725;0;683;1317;0;-5070;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1177;0;45725;0;683;1317;0;-6302;1036;1177
51;0;1762;0;1762;465;975;465;975;0,6771;0,6771;73;132;1716;0;47441;0;1140;1521;578;-5451;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1716;0;47441;0;1140;1521;578;-6683;1762;1716
66;0;2280;0;2280;588;852;588;852;0,5917;0,5917;95;146;2230;0;49671;0;1486;1478;1031;-5443;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2230;0;49671;0;1486;1478;1031;-6675;2280;2230
94;0;3247;0;3247;555;885;1110;330;0,6146;0,2292;135;235;3603;0;53274;0;1081;1533;943;-5895;0;0;0;0;0;1440;0;1440;0;0;0;0;0;3603;0;53274;0;1081;1533;943;-7127;3247;3603
78;0;2695;0;2695;355;1085;355;1085;0,7535;0,7535;112;141;2867;0;56141;0;1262;1400;993;-6033;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2867;0;56141;0;1262;1400;993;-7265;2695;2867
60;0;2073;0;2073;220;1220;640;800;0,8472;0,5556;86;102;2301;0;58442;0;920;1353;453;-6466;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2301;0;58442;0;920;1353;453;-7698;2073;2301
77;0;2660;0;2660;275;1165;835;605;0,809;0,4201;111;134;2921;0;61363;0;1081;1272;910;-6657;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2921;0;61363;0;1081;1272;910;-7889;2660;2921
47;0;1624;0;1624;345;1095;1440;0;0,7604;0;68;89;1557;0;62920;0;885;1275;793;-7047;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1557;0;62920;0;885;1275;793;-8279;1624;1557
6;0;207;0;207;1280;160;1440;0;0,1111;0;9;78;230;0;63150;0;959;1388;959;-7476;0;0;0;0;0;1440;0;960;480;0;0,3333;0;0;230;0;63150;0;959;1388;959;-8708;207;230
66;0;2280;0;2280;375;1065;960;480;0,7396;0,3333;95;123;1933;0;1933;0;1294;1202;1092;1592;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1933;0;1933;0;1294;1202;1092;92;2280;1933
44;0;1520;0;1520;500;940;500;940;0,6528;0,6528;63;93;1543;0;3476;0;981;1112;829;1461;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1543;0;3476;0;981;1112;829;-39;1520;1543
53;0;1831;0;1831;545;895;545;895;0,6215;0,6215;76;106;1770;0;5246;0;1223;1350;774;1334;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1770;0;5246;0;1223;1350;774;-166;1831;1770
56;0;1935;0;1935;430;1010;430;1010;0,7014;0,7014;81;120;1704;0;6950;0;1224;1326;992;1232;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1704;0;6950;0;1224;1326;992;-268;1935;1704
58;0;2004;0;2004;150;1290;150;1290;0,8958;0,8958;83;93;2272;0;9222;0;1123;1241;1043;1114;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2272;0;9222;0;1123;1241;1043;-386;2004;2272
51;0;1762;0;1762;240;1200;240;1200;0,8333;0,8333;73;87;1870;0;11092;0;1065;1205;931;974;0;0;0;0;0;1440;0;1440;0;0;0;0;0;1870;0;11092;0;1065;1205;931;-526;1762;1870
59;0;2038;0;2038;205;1235;205;1235;0,8576;0,8576;85;96;2672;2656;14713;2864;1365;1337;1131;1030;0;0;0;0;0;1440;0;1440;0;0;0;0;0;2672;2656;14733;2864;1365;1337;1131;-372;2038;2672
96;0;3316;0;3316;475;965;475;965;0,6701;0,6701;138;206;3327;4423;18009;7287;1180;1343;880;867;0;0;0;0;0;1440;0;1440;0;0;0;0;0;3327;4423;18060;7287;1180;1343;880;-535;3316;3327
70;0;2418;0;2418;570;870;570;870;0,6042;0,6042;101;167;2644;4983;20618;12270;1392;1371;950;888;8;0;276;0;276;1245;195;1245;195;0,1354;0,1354;12;98;2644;4983;20704;12270;1392;1371;950;-514;2695;2644
90;0;3109;0;3109;405;1035;550;890;0,7188;0,6181;130;203;3569;5699;24147;17969;1382;1450;830;820;7;0;242;0;242;1335;105;1335;105;0,0729;0,0729;10;138;3569;5699;24273;17969;1382;1450;830;-582;3351;3569
117;0;4042;0;4042;205;1235;560;880;0,8576;0,6111;168;197;5053;3903;29173;21872;1308;1329;912;799;0;0;0;0;0;1440;0;1440;0;0;0;0;0;5053;3903;29326;21872;1308;1329;912;-603;4042;5207
70;0;2418;0;2418;680;760;960;480;0,5278;0,3333;101;171;3299;1866;32459;23738;944;1376;824;367;1;0;35;0;35;1370;70;1370;70;0,0486;0,0486;1;30;3299;1866;32625;23738;944;1376;824;-1035;2453;4277
68;0;2349;0;2349;550;890;1440;0;0,6181;0;98;148;5401;3104;37838;26842;1092;1274;1072;185;53;0;1831;0;1831;294;1146;294;1146;0,7958;0,7958;76;96;5401;3104;38026;26842;1092;1274;1072;-1217;4180;5176
37;0;1278;0;1278;865;575;1440;0;0,3993;0;53;124;4314;3393;42128;30235;1009;1192;989;2;48;0;1658;0;1658;450;990;450;990;0,6875;0,6875;69;99;4314;3393;42340;30235;1009;1192;989;-1400;2936;4314
30;0;1036;0;1036;885;555;1035;405;0,3854;0,2813;43;102;2720;2751;44829;32986;799;1114;515;-313;33;0;1140;0;1140;825;615;825;615;0,4271;0,4271;48;88;2720;2751;45060;32986;799;1114;515;-1715;2176;2720
21;0;725;0;725;1130;310;1130;310;0,2153;0,2153;30;87;3367;2272;48180;35258;1218;1181;262;-276;67;0;2315;0;2315;620;820;420;1020;0,5694;0,7083;96;166;3367;2272;48427;35258;1218;1181;262;-1678;3040;4837
94;0;3247;0;3247;350;1090;1190;250;0,7569;0,1736;135;174;4871;4617;53019;39875;1165;1247;888;-358;43;0;1485;0;1485;780;660;780;660;0,4583;0,4583;62;130;4871;4617;53298;39875;1165;1247;888;-1760;4733;5409
110;0;3800;0;3800;390;1050;1440;0;0,7292;0;158;216;6623;4801;59608;44676;1263;1215;877;-310;58;0;2004;0;2004;415;1025;315;1125;0,7118;0,7813;83;118;6623;4801;59921;44676;1263;1215;877;-1712;5804;8948
76;0;2625;0;2625;375;1065;1440;0;0,7396;0;109;141;6389;4735;65964;49411;1444;1200;1123;-66;67;0;2315;0;2315;330;1110;560;880;0,7708;0,6111;96;133;6389;4735;66310;49411;1444;1200;1123;-1468;4940;6389
14;0;484;0;484;1140;300;1040;400;0,2083;0,2778;20;97;2909;5113;68837;54524;600;1231;283;-697;51;0;1762;0;1762;525;915;525;915;0,6354;0,6354;73;114;2909;5113;69219;54524;600;1231;283;-2099;2245;2909
0;0;0;0;0;1440;0;1440;0;0;0;0;0;2935;6308;71728;60832;676;1262;669;-1283;71;0;2453;0;2453;335;1105;1440;0;0,7674;0;102;134;2935;6308;72154;60832;676;1262;669;-2685;2453;2935
0;0;0;0;0;1440;0;1440;0;0;0;0;0;2165;7353;73842;68185;610;1334;563;-2007;48;0;1658;0;1658;760;680;760;680;0,4722;0,4722;69;146;2165;7353;74319;68185;610;1334;563;-3409;1658;2165
0;0;0;0;0;1440;0;1440;0;0;0;0;0;726;6791;74520;74976;448;1241;475;-2800;16;0;553;0;553;1200;240;1350;90;0,1667;0,0625;23;138;726;6791;75045;74976;448;1241;475;-4202;553;726
0;0;0;0;0;1440;0;1440;0;0;0;0;0;3265;7083;77736;82059;1107;1342;936;-3035;77;0;2660;0;2660;525;915;1440;0;0,6354;0;111;182;3265;7083;78310;82059;1107;1342;936;-4437;2660;3265
0;0;0;0;0;1440;0;1440;0;0;0;0;0;3000;6675;80689;88734;1241;1352;1067;-3146;83;0;2867;0;2867;595;845;1440;0;0,5868;0;119;199;3000;6675;81310;88734;1241;1352;1067;-4548;2867;3000
0;0;0;0;0;1440;0;1440;0;0;0;0;0;4458;6590;85101;95324;1170;1071;978;-3047;99;0;3420;0;3420;346;1094;1440;0;0,7597;0;143;188;4458;6590;85768;95324;1170;1071;978;-4449;3420;4458
0;0;0;0;0;1440;0;1440;0;0;0;0;0;3662;6266;88719;101590;759;1282;653;-3570;81;0;2798;0;2798;430;1010;1440;0;0,7014;0;117;161;3662;6266;89430;101590;759;1282;653;-4972;2798;3662
0;0;0;0;0;1440;0;1440;0;0;0;0;0;4515;6697;93187;108287;708;1215;472;-4077;95;0;3282;0;3282;160;1280;1440;0;0,8889;0;137;157;4515;6697;93945;108287;708;1215;472;-5479;3282;4515
38;0;1313;0;1313;1060;380;1440;0;0,2639;0;55;207;5804;6798;98943;115085;797;1173;573;-4453;91;0;3144;0;3144;380;1060;1100;340;0,7361;0,2361;131;173;5804;6798;99749;115085;797;1173;573;-5855;4456;5804
93;0;3213;0;3213;510;930;1440;0;0,6458;0;134;192;5745;7230;104638;122315;676;1277;600;-5054;39;0;1347;0;1347;945;495;945;495;0,3438;0,3438;56;138;5745;7230;105494;122315;676;1277;600;-6456;4560;5745
23;0;795;0;795;1090;350;1440;0;0,2431;0;33;136;4430;7125;4380;7125;925;1406;834;1019;86;0;2971;0;2971;605;835;605;835;0,5799;0,5799;124;205;4430;7125;4430;7125;925;1406;834;-481;3765;4430
119;0;4111;0;4111;220;1220;1440;0;0,8472;0;171;202;8330;7419;12658;14544;1206;1313;1052;912;62;0;2142;0;2142;585;855;585;855;0,5938;0,5938;89;159;8330;7419;12760;14544;1206;1313;1052;-588;6253;8330
114;0;3938;0;3938;205;1235;1440;0;0,8576;0;164;191;8310;7067;20919;21611;1145;1136;1144;921;72;0;2487;0;2487;275;1165;275;1165;0,809;0,809;104;129;8310;7067;21070;21611;1145;1136;1144;-579;6425;8310
108;0;3731;0;3731;347;1093;1120;320;0,759;0,2222;155;202;8070;7630;28935;29241;1062;1276;1062;707;88;0;3040;0;3040;535;905;535;905;0,6285;0,6285;127;204;8070;7630;29140;29241;1062;1276;1062;-793;6771;8070
67;0;2315;0;2315;535;905;535;905;0,6285;0,6285;96;155;5941;7597;34823;36838;1011;1280;952;438;100;0;3455;0;3455;410;1030;1440;0;0,7153;0;144;200;5941;7597;35081;36838;1011;1280;952;-1062;5769;5941
93;0;3213;0;3213;355;1085;1440;0;0,7535;0;134;171;7006;6175;41786;43013;961;1189;495;210;76;0;2625;0;2625;375;1065;375;1065;0,7396;0,7396;109;148;7006;6175;42087;43013;961;1189;495;-1290;5838;7006
101;0;3489;0;3489;300;1140;1440;0;0,7917;0;145;184;8487;7250;58321;52769;1238;1132;927;165;102;0;3524;0;3524;255;1185;650;790;0,8229;0,5486;147;183;8487;7250;58690;52454;1238;1132;927;-1337;7013;8487
100;0;3455;0;3455;295;1145;1440;0;0,7951;0;144;182;7922;7892;66187;60661;1006;1175;750;-4;93;0;3213;0;3213;275;1165;345;1095;0,809;0,7604;134;166;7922;7892;66612;60346;1006;1175;750;-1506;6667;7922
119;0;4111;0;4111;165;1275;1440;0;0,8854;0;171;195;9446;7074;75584;67735;1074;1190;869;-120;89;0;3075;0;3075;325;1115;780;660;0,7743;0,4583;128;164;9446;7074;76058;67420;1074;1190;869;-1622;7185;9446
72;0;2487;0;2487;455;985;1440;0;0,684;0;104;166;8453;6942;83988;74677;745;1119;730;-494;104;0;3593;0;3593;383;1057;1440;0;0,734;0;150;200;8453;6942;84511;74362;745;1119;730;-1996;6080;8453
78;0;2695;0;2695;415;1025;1440;0;0,7118;0;112;141;8325;6738;92266;81415;725;1183;724;-952;90;0;3109;0;3109;315;1125;1440;0;0,7813;0;130;167;8325;6738;92836;81100;725;1183;724;-2454;5804;8479
72;0;2487;0;2487;230;1210;1440;0;0,8403;0;104;124;6923;7131;99139;88546;895;997;714;-1054;91;0;3144;0;3144;385;1055;765;675;0,7326;0,4688;131;175;6923;7131;99759;88231;895;997;714;-2556;5631;8487
26;0;898;0;898;1055;385;1440;0;0,2674;0;37;140;5815;5908;104913;94454;668;1049;611;-1435;97;0;3351;0;3351;285;1155;1080;360;0,8021;0,25;140;174;5815;5908;105574;94139;668;1049;611;-2937;4249;6269
76;0;2625;0;2625;380;1060;380;1060;0,7361;0,7361;109;149;4424;1828;109324;96282;696;1112;633;-1851;35;0;1209;0;1209;850;590;1440;0;0,4097;0;50;128;4424;1828;109998;95967;696;1112;633;-3353;3835;4424
63;0;2176;0;2176;315;1125;315;1125;0,7813;0,7813;91;112;4778;5410;114064;101692;675;1151;514;-2327;48;0;1658;0;1658;660;780;1440;0;0,5417;0;69;130;4778;5410;114776;101377;675;1151;514;-3829;3835;4778
55;0;1900;0;1900;315;1125;230;1210;0,7813;0,8403;79;101;5230;6911;119246;108603;767;1223;677;-2783;71;0;2453;0;2453;815;625;1440;0;0,434;0;102;220;5230;6911;120006;108288;767;1223;677;-4285;4353;6737
58;0;2004;0;2004;350;1090;740;700;0,7569;0,4861;83;110;7565;7676;126757;116279;919;1196;891;-3060;117;0;4042;0;4042;271;1169;1440;0;0,8118;0;168;209;7565;7676;127571;115964;919;1196;891;-4562;6045;8688
95;0;3282;0;3282;345;1095;1440;0;0,7604;0;137;180;7675;7641;134379;123920;746;959;746;-3273;66;0;2280;0;2280;525;915;1035;405;0,6354;0,2813;95;146;7675;7641;135246;123605;746;959;746;-4775;5562;9861
73;0;2522;0;2522;470;970;360;1080;0,6736;0,75;105;165;6005;7700;140330;131620;625;916;605;-3564;59;0;2038;0;2038;510;930;1440;0;0,6458;0;85;105;6005;7700;141251;131305;625;916;605;-5066;4560;6005
87;0;3005;0;3005;360;1080;1040;400;0,75;0,2778;125;163;7105;7334;147383;138954;734;789;914;-3619;61;0;2107;0;2107;715;725;1110;330;0,5035;0,2292;88;170;7105;7334;148356;138639;734;789;914;-5121;5113;7105
108;0;3731;0;3731;435;1005;1440;0;0,6979;0;155;230;7357;6837;154692;145791;908;1056;815;-3767;63;0;2176;0;2176;345;1095;335;1105;0,7604;0,7674;91;119;7357;6837;155713;145476;908;1056;815;-5269;5907;7357
71;0;2453;0;2453;320;1120;320;1120;0,7778;0,7778;102;132;7400;7711;162038;153502;866;1071;866;-3972;97;0;3351;0;3351;415;1025;1440;0;0,7118;0;140;191;7400;7711;163113;153187;866;1071;866;-5474;5804;7400
57;0;1969;0;1969;490;950;490;950;0,6597;0,6597;82;123;7830;7569;169816;161071;973;1166;915;-4165;117;0;4042;0;4042;280;1160;1440;0;0,8056;0;168;209;7830;7569;170943;160756;973;1166;915;-5667;6011;7830
63;0;2176;0;2176;360;1080;360;1080;0,75;0,75;91;119;6880;7865;176640;168936;705;1174;648;-4634;85;0;2936;0;2936;430;1010;1440;0;0,7014;0;122;164;6880;7865;177823;168621;705;1174;648;-6136;5113;6880
88;0;3040;0;3040;265;1175;775;665;0,816;0,4618;127;155;6886;8100;183470;177036;883;831;874;-4582;64;0;2211;0;2211;590;850;1440;0;0,5903;0;92;161;6886;8100;184709;176721;883;831;874;-6084;5251;6886
97;0;3351;0;3351;225;1215;225;1215;0,8438;0,8438;140;170;8400;7332;191818;184368;955;1153;955;-4780;104;0;3593;0;3593;260;1180;1440;0;0,8194;0;150;184;8400;7332;193109;184053;955;1153;955;-6282;6944;8400
107;0;3696;0;3696;185;1255;185;1255;0,8715;0,8715;154;176;7037;7912;198800;192280;1017;793;949;-4556;57;0;1969;0;1969;815;625;1440;0;0,434;0;82;186;7037;7912;200146;191965;1017;793;949;-6058;5665;7037
89;0;3075;0;3075;352;1088;732;708;0,7556;0,4917;128;169;8455;7523;207202;199803;1127;1246;874;-4675;86;0;2971;0;2971;92;1348;750;690;0,9361;0,4792;124;134;8455;7523;208601;199488;1127;1246;874;-6177;6045;8455
102;0;3524;0;3524;270;1170;1440;0;0,8125;0;147;175;8225;7102;215378;206905;908;1192;888;-4959;86;0;2971;0;2971;380;1060;395;1045;0,7361;0,7257;124;170;8225;7102;216826;206590;908;1192;888;-6461;6495;8225
103;0;3558;0;3558;250;1190;770;670;0,8264;0,4653;148;178;8835;7294;8784;7294;912;1190;882;1222;107;0;3696;0;3696;335;1105;870;570;0,7674;0,3958;154;200;8835;7294;8835;7294;912;1190;882;-278;7255;8835
90;0;3109;0;3109;290;1150;675;765;0,7986;0,5313;130;161;7950;6897;16686;14191;1010;1196;946;1036;113;0;3904;0;3904;285;1155;1055;385;0,8021;0,2674;163;203;7950;6897;16785;14191;1010;1196;946;-464;7013;7950
103;0;3558;0;3558;380;1060;1440;0;0,7361;0;148;203;8170;7340;24804;21531;930;1232;887;734;86;0;2971;0;2971;265;1175;265;1175;0,816;0,816;124;147;8170;7340;24955;21531;930;1232;887;-766;6529;8170
114;0;3938;0;3938;135;1305;1440;0;0,9063;0;164;180;8131;6763;32888;28294;991;1281;964;444;65;0;2245;0;2245;460;980;460;980;0,6806;0,6806;94;136;8131;6763;33086;28294;991;1281;964;-1056;6184;8131
